,Wavelength,Luminosity
433,7438.539070926471,5.32996652423028e+38
434,7427.764985515859,5.5027184847287915e+38
435,7417.022065640646,5.65983368062719e+38
436,7406.310176270184,5.813016485006705e+38
437,7395.629183152757,5.96981240947994e+38
438,7384.9789528099855,6.129299259912999e+38
439,7374.35935253125,6.2902491882928344e+38
440,7363.770250368189,6.452320253730739e+38
441,7353.211515129234,6.611497084892148e+38
442,7342.683016374184,6.768586636171271e+38
443,7332.184624408843,6.899125145244356e+38
444,7321.71621027969,6.993644485343009e+38
445,7311.277645768599,7.069867999465283e+38
446,7300.868803387603,7.134079915001174e+38
447,7290.489556373712,7.118737159327944e+38
448,7280.1397786837515,7.067947834486843e+38
449,7269.819344989278,6.985557319768666e+38
450,7259.528130671507,6.887263206478674e+38
451,7249.266011816305,6.866325801547706e+38
452,7239.032865209209,6.973623309396764e+38
453,7228.828568330503,7.127662524035332e+38
454,7218.652999350322,7.28612879075622e+38
455,7208.506037123808,7.433864906566368e+38
456,7198.387561186295,7.577799008275745e+38
457,7188.2974517485545,7.713223015139258e+38
458,7178.2355896920535,7.848035637692664e+38
459,7168.201856564282,7.988082942382589e+38
460,7158.196134574087,8.130688821429754e+38
461,7148.218306587084,8.279790922661994e+38
462,7138.268256121066,8.43338379083294e+38
463,7128.345867341483,8.567523482110599e+38
464,7118.451025056948,8.411389052816962e+38
465,7108.583614714769,8.00727372376873e+38
466,7098.743522396537,7.972148739525774e+38
467,7088.930634813739,8.004887655871937e+38
468,7079.144839303413,7.999486909430757e+38
469,7069.386023823831,7.958218938890216e+38
470,7059.65407695023,7.899596201826167e+38
471,7049.948887870563,7.853960548369473e+38
472,7040.270346381302,7.924346168325449e+38
473,7030.618342883256,7.94609040792617e+38
474,7020.9927683774495,7.918533186801176e+38
475,7011.393514461,7.962597849082267e+38
476,7001.820473323064,7.94218515279466e+38
477,6992.273537740797,7.851461090091525e+38
478,6982.752601075345,7.712731455729772e+38
479,6973.257557267878,7.53275841872731e+38
480,6963.788300835656,7.380401563519913e+38
481,6954.344726868112,7.344017843260765e+38
482,6944.926731022989,7.334618882567959e+38
483,6935.53420952249,7.317190931732807e+38
484,6926.167059149468,7.301036054997581e+38
485,6916.825177243645,7.25067934389437e+38
486,6907.508461697866,7.194709278015518e+38
487,6898.216810954369,7.101687428373675e+38
488,6888.950124001103,7.011475348086773e+38
489,6879.708300368065,6.887453051800713e+38
490,6870.491240123669,6.7452309163883395e+38
491,6861.298843871145,6.587160888362825e+38
492,6852.131012744964,6.424087619562989e+38
493,6842.987648407296,6.242462578672397e+38
494,6833.868653044489,6.0147305173174336e+38
495,6824.7739293635905,5.8219586439127125e+38
496,6815.703380588878,5.4496309778746824e+38
497,6806.65691045843,4.853997204970958e+38
498,6797.634423220719,4.563877159487248e+38
499,6788.635823631242,4.545991845837203e+38
500,6779.661016949153,4.570575346681203e+38
501,6770.709908933953,4.5938202567825186e+38
502,6761.782405842181,4.621308204259887e+38
503,6752.878414424149,4.646011918411505e+38
504,6743.997841920692,4.675005367047351e+38
505,6735.140596059943,4.7043015056369014e+38
506,6726.306585054148,4.7365818972718996e+38
507,6717.49571759648,4.817158117847274e+38
508,6708.70790285791,4.863744909714583e+38
509,6699.943050484071,4.8952687500691554e+38
510,6691.201070592172,4.9472860745989355e+38
511,6682.481873767918,4.984329834101322e+38
512,6673.785371062468,5.018850332050983e+38
513,6665.111473989403,5.065918544804573e+38
514,6656.460094521734,5.1167590773108366e+38
515,6647.831145088916,5.174897329534215e+38
516,6639.224538573895,5.244007319540713e+38
517,6630.640188310182,5.314093347176563e+38
518,6622.078008078935,5.389470930669399e+38
519,6613.537912106081,5.466499682557838e+38
520,6605.019815059446,5.545092947821413e+38
521,6596.523632045913,5.623035769072232e+38
522,6588.049278608604,5.699883361586679e+38
523,6579.596670724085,5.775782846241124e+38
524,6571.16572479958,5.850023402691999e+38
525,6562.756357670222,5.927305349155983e+38
526,6554.368486596317,6.0092466045361396e+38
527,6546.00202926063,6.09162558154261e+38
528,6537.656903765691,6.1719441960880346e+38
529,6529.333028631126,6.256649198376909e+38
530,6521.030322791002,6.346954470327057e+38
531,6512.748705591196,6.4420112921577596e+38
532,6504.488096786783,6.5406350420646665e+38
533,6496.248416539449,6.6335482566811454e+38
534,6488.02958541491,6.731506677732417e+38
535,6479.831524380366,6.840718502810157e+38
536,6471.654154801968,6.944626821454358e+38
537,6463.497398442298,7.060054042262078e+38
538,6455.361177457879,7.172131167217894e+38
539,6447.2454143967,7.282014646207535e+38
540,6439.15003219575,7.399403401533186e+38
541,6431.074954178592,7.53504667278346e+38
542,6423.020104052926,7.66698512040777e+38
543,6414.985405908202,7.796815647493658e+38
544,6406.970784213225,7.927938559956785e+38
545,6398.976163813791,8.061886380252672e+38
546,6391.001469930338,8.216267207027861e+38
547,6383.046628155619,8.36437264412042e+38
548,6375.111564452378,8.498298925267341e+38
549,6367.196205151063,8.589040752383248e+38
550,6359.3004769475365,8.524034707238098e+38
551,6351.4243069008235,8.191278202186363e+38
552,6343.567622430856,7.948993474020048e+38
553,6335.730351316249,7.982235097763674e+38
554,6327.9124216920845,8.055818695152201e+38
555,6320.113762047717,8.106571077731145e+38
556,6312.334301224594,8.134496465304018e+38
557,6304.573968414085,8.17188791513901e+38
558,6296.832693155343,8.184270704652735e+38
559,6289.110405333166,8.184544192060173e+38
560,6281.407035175879,8.205690270202288e+38
561,6273.722513253239,8.21925659059278e+38
562,6266.056770474341,8.215744733080834e+38
563,6258.409738085553,8.214772437348005e+38
564,6250.781347668459,8.189079278026724e+38
565,6243.171531137818,8.133805319119338e+38
566,6235.58022073954,8.060633777512713e+38
567,6228.007349048672,7.983294662327368e+38
568,6220.452848967405,7.87953073883228e+38
569,6212.916653723091,7.742707280274243e+38
570,6205.398696866274,7.634406142603376e+38
571,6197.898912268741,7.468010413541356e+38
572,6190.41723412158,7.313147340287626e+38
573,6182.9535969332555,7.079354958510929e+38
574,6175.507935527697,6.505656028543579e+38
575,6168.080185042407,5.802960866220889e+38
576,6160.670280926565,5.448560533365831e+38
577,6153.278158939175,5.251211080934293e+38
578,6145.903755147195,4.99688202165087e+38
579,6138.547005923698,4.752052654334613e+38
580,6131.207847946046,4.309682576192637e+38
581,6123.886218194066,4.050742572528538e+38
582,6116.582053948255,3.950924914594262e+38
583,6109.295292787977,3.7544666830648654e+38
584,6102.0258725897,3.7969866050880895e+38
585,6094.773731525217,3.794934101264794e+38
586,6087.538808059901,3.6943058158196265e+38
587,6080.321040950963,3.825574603472141e+38
588,6073.120369245718,4.067085579091894e+38
589,6065.936732279883,4.315964576111675e+38
590,6058.770069675857,4.659038733771955e+38
591,6051.620321341039,5.04263897200409e+38
592,6044.4874274661515,5.462773544666264e+38
593,6037.371328523562,5.884511407943698e+38
594,6030.271965265634,6.278310215738584e+38
595,6023.189278723084,6.729052693162389e+38
596,6016.123210203345,7.164784792089792e+38
597,6009.073701288947,7.503063733997767e+38
598,6002.040693835905,7.784972373915551e+38
599,5995.024129972123,8.103823427584315e+38
600,5988.023952095809,8.364137319616274e+38
601,5981.040102873891,8.479867291544561e+38
602,5974.072525240456,8.618167514740845e+38
603,5967.121162395203,8.784849929904025e+38
604,5960.185957801884,8.960481911696953e+38
605,5953.266855186784,9.191833633252923e+38
606,5946.363798537194,9.42346526084106e+38
607,5939.476732099903,9.614337949486936e+38
608,5932.6056003796875,9.796749841670781e+38
609,5925.7503481378335,9.963045190027765e+38
610,5918.910920390648,1.00615893054965e+39
611,5912.087262407993,1.015634605296177e+39
612,5905.279319711823,1.0244982484250054e+39
613,5898.487038074734,1.0329198456305986e+39
614,5891.71036351853,1.0407688440767808e+39
615,5884.949242312785,1.0485993034699843e+39
616,5878.2036209734315,1.0559310068236703e+39
617,5871.473446261339,1.0633188771268679e+39
618,5864.758665180928,1.0679251817396425e+39
619,5858.059224978765,1.0517713494862726e+39
620,5851.375073142189,9.937406262512442e+38
621,5844.706157397937,9.405839656427028e+38
622,5838.052425710783,9.28009954787851e+38
623,5831.4138262821825,9.351631630841106e+38
624,5824.790307548929,9.425407417528705e+38
625,5818.181818181818,9.506963067083261e+38
626,5811.5883070843265,9.588735239232386e+38
627,5805.0097233912875,9.689937278690024e+38
628,5798.4460164675875,9.789481085325819e+38
629,5791.897135906866,9.891135673661787e+38
630,5785.363031530229,9.991182635641458e+38
631,5778.843653384958,1.0095875440186171e+39
632,5772.338951743246,1.0195191469516513e+39
633,5765.8488771009315,1.0260557764312835e+39
634,5759.373380176236,1.0281432355471712e+39
635,5752.912411908529,1.0122792869183306e+39
636,5746.465923457074,1.0066232450139789e+39
637,5740.033866199811,1.0085661688947862e+39
638,5733.616191732126,1.0033487807863751e+39
639,5727.212851865639,1.0237577621015711e+39
640,5720.823798627002,1.0582423490500234e+39
641,5714.448984256694,1.0853498730448094e+39
642,5708.088361207831,1.1122158655971099e+39
643,5701.7418821449955,1.1406022338191838e+39
644,5695.409499943046,1.1661940754114714e+39
645,5689.091167685962,1.1897345337096901e+39
646,5682.786838665682,1.2114458066590843e+39
647,5676.49646638095,1.2297729930780146e+39
648,5670.220004536176,1.237793238935311e+39
649,5663.9574070403,1.2436993900432084e+39
